,Plan,Fund_Name,p.a Return,Expense Ratio,Current Val
375,DEBT,Aditya Birla Sun Life Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund,.A., 0.2,.A.
376,EQUITY,Nippon India Index Nifty 50,12.46, 0.2,8.2 
377,DEBT,Motilal Oswal 5 Year G-Sec FoF,.A.,0.03,.A.
378,DEBT,Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index,.A.,0.16,.A.
379,EQUITY,Edelweiss Nifty 50 Index Fund,.A.,0.17,.A.
380,EQUITY,HDFC NIFTY Next 50 Index Fund,.A., 0.3,.A.
381,EQUITY,PGIM India Global Select Real Estate Securities FoF,.A.,1.31,.A.
382,EQUITY,Bandhan Multi Cap Fund,.A.,0.57,.A.
383,EQUITY,Edelweiss NIFTY Large Mid Cap 250 Index Fund,.A.,0.38,.A.
384,EQUITY,Quant Value Fund,.A.,0.57,.A.
385,EQUITY,HDFC Multi Cap Fund,.A.,0.41,.A.
386,EQUITY,Motilal Oswal MSCI EAFE Top 100 Select Index Fund,.A.,0.51,.A.
387,EQUITY,Axis Multicap Fund,.A.,0.34,.A.
388,DEBT,BHARAT Bond ETF FOF - April 2032,.A.,0.06,.A.
389,EQUITY,DSP Quant Fund,.A.,0.57,.A.
390,EQUITY,Navi Nifty Next 50 Index Fund,.A.,0.12,.A.
391,DEBT,SBI CPSE Bond Plus SDL Sep 2026 50:50 Index Fund,.A.,0.18,.A.
392,DEBT,Axis CRISIL IBX 70:30 CPSE Plus SDL April 2025 Index Fund,.A.,0.15,.A.
393,EQUITY,Mirae Asset Nifty India Manufacturing ETF FoF,.A.,0.32,.A.
394,COMMODITIES,Aditya Birla Sun Life Silver ETF FoF,.A.,0.15,.A.
395,DEBT,Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund,.A., 0.2,.A.
396,EQUITY,UTI S&P BSE Sensex Index Fund,.A.,0.19,.A.
397,EQUITY,Navi Nifty Bank Index Fund,.A., 0.1,.A.
398,EQUITY,Kotak Manufacture in India Fund,.A.,0.57,.A.
399,EQUITY,Aditya Birla Sun Life Nifty Next 50 Index Fund,.A.,0.35,.A.
400,EQUITY,Axis Equity ETFs FoF,.A.,0.11,.A.
401,EQUITY,HDFC Nifty 100 Index Fund,.A., 0.3,.A.
402,EQUITY,Franklin India Opportunities Fund,15.14,1.79,8.76
403,EQUITY,Nippon India US Equity Opportunities Fund,9.42%, 1.3,7.6 
404,EQUITY,ICICI Prudential Nifty Bank Index Fund,.A., 0.2,.A.
405,EQUITY,UTI S&P BSE Low Volatility Index Fund,.A.,0.44,.A.
406,EQUITY,Navi Nifty Midcap 150 Index Fund,.A.,0.11,.A.
407,EQUITY,ICICI Prudential Global Stable Equity Fund (FOF),10.70,1.26,7.85
408,DEBT,Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund,.A.,0.17,.A.
409,EQUITY,Axis Nifty Midcap 50 Index Fund,.A.,0.23,.A.
410,EQUITY,Aditya Birla Sun Life Pharma & Healthcare Fund,.A.,1.17,.A.
411,EQUITY,Invesco India - Invesco EQQQ NASDAQ-100 ETF FoF,.A.,0.14,.A.
412,DEBT,ICICI Prudential Nifty SDL Sep 2027 Index Fund,.A.,0.15,.A.
413,EQUITY,UTI Nifty Midcap 150 Quality 50 Index Fund,.A., 0.4,.A.
414,EQUITY,Tata Nifty India Digital ETF FoF,.A.,0.05,.A.
415,DEBT,Aditya Birla Sun Life CRISIL IBX 60:40 SDL + AAA PSU Apr 2027 Index Fund,.A., 0.2,.A.
416,HYBRID,Franklin India Dynamic Asset Allocation FoF,11.64,0.46,8.03
417,HYBRID,Mirae Asset Balanced Advantage Fund,.A.,0.83,.A.
418,EQUITY,DSP Nifty Midcap 150 Quality 50 Index Fund,.A.,0.05,.A.
419,DEBT,Aditya Birla Sun Life Long Duration Fund,.A., 0.4,.A.
420,EQUITY,Quantum Nifty 50 ETF FoF,.A.,0.06,.A.
421,DEBT,UTI Gilt Fund with 10 year Constant Duration,.A.,tio ,.A.
422,EQUITY,ICICI Prudential Nifty 200 Momentum 30 Index Fund,.A.,0.34,.A.
423,EQUITY,ICICI Prudential Nifty IT Index Fund,.A.,0.35,.A.
424,EQUITY,Motilal Oswal S&P BSE Enhanced Value Index Fund,.A.,0.29,.A.
425,EQUITY,Tata Housing Opportunities Fund,.A.,0.68,.A.
426,EQUITY,Mirae Asset Global X Artificial Intelligence & Technology ETF FoF,.A.,tio ,.A.
427,EQUITY,ICICI Prudential Infrastructure Fund,24.23,1.64,10.9
428,EQUITY,Sundaram Flexi Cap Fund,.A.,tio ,.A.
429,COMMODITIES,Axis Silver FoF,.A.,tio ,.A.
430,EQUITY,Bandhan Nifty100 Low Volatility 30 Index Fund,.A.,0.32,.A.
431,EQUITY,ICICI Prudential Nifty50 Equal Weight Index Fund,.A.,tio ,.A.
432,HYBRID,Invesco India Dynamic Equity Fund,8.23%,0.95,7.38
433,COMMODITIES,Motilal Oswal Gold and Silver ETFs FoF,.A.,0.16,.A.
434,EQUITY,SBI Nifty Midcap 150 Index Fund,.A., 0.4,.A.
435,DEBT,SBI CRISIL IBX Gilt Index - June 2036 Fund,.A.,0.28,.A.
436,DEBT,Aditya Birla Sun Life CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund,.A.,0.19,.A.
437,HYBRID,Aditya Birla Sun Life Multi - Index FoF,.A.,0.14,.A.
438,DEBT,SBI CRISIL IBX Gilt Index - April 2029 Fund,.A., 0.2,.A.
439,EQUITY,Bandhan Transportation and Logistics Fund,.A.,0.81,.A.
440,EQUITY,Axis NASDAQ 100 FoF,.A.,tio ,.A.
441,DEBT,Kotak Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index Fund,.A.,0.15,.A.
442,DEBT,ICICI Prudential Nifty G-Sec Dec 2030 Index Fund,.A.,0.16,.A.
443,COMMODITIES,HDFC Silver ETF FoF,.A., 0.2,.A.
444,DEBT,Bandhan Crisil IBX Gilt April 2026 Index Fund,.A.,0.15,.A.
445,DEBT,Mirae Asset Nifty AAA PSU Bond Plus SDL Apr 2026 50:50 Index Fund,.A.,tio ,.A.
446,EQUITY,Canara Robeco Mid Cap Fund,.A.,tio ,.A.
447,EQUITY,HDFC Business Cycle Fund,.A.,tio ,.A.
448,DEBT,Axis Nifty SDL September 2026 Debt Index Fund,.A.,tio ,.A.
449,DEBT,HDFC Nifty G-sec Dec 2026 Index,.A., 0.2,.A.
450,DEBT,Bandhan CRISIL IBX 90:10 SDL Plus Gilt- November 2026 Index Fund,.A.,0.15,.A.
451,HYBRID,Baroda BNP Paribas Multi Asset Fund,.A.,0.37,.A.
452,EQUITY,Edelweiss Nifty Smallcap 250 Index Fund,.A.,0.41,.A.
453,DEBT,Bandhan CRISIL IBX 90:10 SDL Plus Gilt-September 2027 Index Fund,.A.,0.15,.A.
454,DEBT,Nippon India Nifty G-Sec Jun 2036 Maturity Index Fund,.A.,0.16,.A.
455,DEBT,Aditya Birla Sun Life CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index Fund,.A.,tio ,.A.
456,DEBT,Axis Long Duration Fund,.A.,tio ,.A.
457,DEBT,HDFC Nifty G-Sec Jun 2027 Index,.A., 0.2,.A.
458,DEBT,UTI CRISIL SDL Maturity April 2033 Index Fund,.A.,tio ,.A.
459,DEBT,SBI Long Duration Fund,.A.,0.22,.A.
460,DEBT,Quant Gilt Fund,.A.,0.51,.A.
461,DEBT,Tata Nifty G-Sec Dec 2029 Index Fund,.A.,tio ,.A.
462,HYBRID,Aditya Birla Sun Life Multi Asset Allocation Fund,.A.,tio ,.A.
463,DEBT,Baroda BNP Paribas Nifty SDL December 2026 Index Fund,.A.,0.15,.A.
464,DEBT,HDFC Long Duration Debt Fund,.A.,0.25,.A.
465,DEBT,Aditya Birla Sun Life CRISIL IBX AAA Mar 2024 Index Fund,.A.,tio ,.A.
466,DEBT,DSP Nifty SDL Plus G-Sec Sep 2027 50:50 Index Fund,.A.,0.15,.A.
467,EQUITY,Kotak Banking & Financial Services Fund,.A.,tio ,.A.
468,EQUITY,Mirae Asset Flexi Cap Fund,.A.,tio ,.A.
469,DEBT,Axis CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund,.A.,tio ,.A.
470,DEBT,PGIM India CRISIL IBX Gilt Index - Apr 2028 Fund,.A.,tio ,.A.
471,DEBT,Nippon India Nifty SDL Plus G-Sec - Jun 2029 Maturity 70:30 Index Fund,.A.,tio ,.A.
472,EQUITY,HDFC MNC Fund,.A.,tio ,.A.
473,DEBT,HDFC Nifty SDL Oct 2026 Index Fund,.A.,tio ,.A.
474,DEBT,HDFC NIFTY G-Sec Jun 2036 Index Fund,.A.,tio ,.A.
